,PLAYER,TEAM,AGE,GP,W,L,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST RATIO,OREB%,DREB%,REB%,TO RATIO,EFG%,TS%,USG%,PACE,PIE
,Gorgui Dieng,MIN,27,82,31,51,32.4,108.3,108.2,0.2,8.6,1.48,15.8,8.2,20.2,14.2,10.7,51.4,55.5,14.1,96.76,9.2
,Karl-Anthony Towns,MIN,21,82,31,51,37,109.9,110.8,-0.9,12.7,1.04,10.5,11.4,27.7,19.5,10.1,57.6,61.8,27.4,97.1,17.1
,Kris Dunn,MIN,23,78,30,48,17.1,105.7,108.6,-2.8,20,2.11,30.5,2.1,13.1,7.4,14.4,41.1,43.2,14.2,96.78,5.1
,Nemanja Bjelica,MIN,29,65,28,37,18.3,104.7,103.4,1.3,10.2,1.34,15.2,5.3,18.4,11.7,11.3,50.3,52.6,16.4,97.32,7.8
,Omri Casspi,MIN,29,36,12,24,17.8,103.9,112.3,-8.4,8.7,1.28,15.2,4.7,16.7,10.4,11.9,51.5,52.6,14,98.23,6.9
,Ricky Rubio,MIN,26,75,28,47,32.9,108.9,109.9,-1,38.5,3.5,41.3,3.2,11.2,7.2,11.8,44.8,53.9,17.4,97.07,11.4
,Shabazz Muhammad,MIN,24,78,29,49,19.4,105.3,106.8,-1.5,3.8,0.63,4.5,6.3,10.9,8.5,7.2,52.3,56.6,21.4,97.93,9.4
,Zach LaVine,MIN,22,47,16,31,37.2,106.5,110.1,-3.6,12.8,1.64,14,1.2,9.8,5.3,8.5,54.4,57.6,21.8,96.38,9.5
,Gary Payton II,MIL,24,6,2,4,16.5,88.6,115.1,-26.5,22.4,1.3,27.5,0,14.8,7.2,21.2,38.6,41.3,16.2,96.75,4.1
,Giannis Antetokounmpo,MIL,22,80,42,38,35.6,107.4,105.9,1.5,26.9,1.85,19.8,5.8,22.6,14.3,10.7,54.1,59.9,28.3,96.46,17.6
,Greg Monroe,MIL,27,81,42,39,22.5,110.1,106.4,3.7,16.5,1.34,16.1,11.2,23.7,17.6,12.1,53.3,57.2,24.2,96.98,13.9
,Jabari Parker,MIL,22,51,22,29,33.9,106.8,109.3,-2.5,13.7,1.53,12.4,5.3,15.1,10.3,8.1,53,56.3,26,98.47,12.1
,Jason Terry,MIL,39,74,37,37,18.4,107.1,102.4,4.7,10,2.72,25.1,1.3,7.7,4.6,9.2,58.2,60,9.8,95.82,5.8
,John Henson,MIL,26,58,26,32,19.4,105.2,107,-1.8,7.6,1.1,12.3,9.3,20.2,14.8,11.2,51.5,55,16.4,96.69,9.2
,Khris Middleton,MIL,25,29,19,10,30.7,109.7,104,5.7,17.5,1.52,18.4,1.5,15.3,8.5,12.1,51.8,57,23.2,94.63,10.4
,Malcolm Brogdon,MIL,24,75,38,37,26.4,109.2,106.5,2.7,23.9,2.81,28.3,2.8,9.7,6.3,10.1,51.8,55.5,18.6,96.37,9.8
,Matthew Dellavedova,MIL,26,76,39,37,26.1,106,107,-1.1,25.9,2.68,33.5,1.4,7.2,4.3,12.5,46.3,50.1,16.1,97.5,6.6
,Michael Beasley,MIL,28,56,23,33,16.7,106.9,108.5,-1.6,9.6,0.8,9.3,5.1,18.6,12,11.6,55.4,58.4,24.8,97.91,11.6
,Mirza Teletovic,MIL,31,70,36,34,16.2,106.4,103,3.4,6.3,1.3,9.2,1.1,15,8.2,7.1,49.8,51.5,19.1,96.72,6.1
,Terrence Jones,MIL,25,54,20,34,23.5,103.1,104.8,-1.7,7.5,1.23,8.8,5.3,20.3,12.6,7.1,48.9,51.5,21.6,99.53,11
,Tony Snell,MIL,25,80,42,38,29.2,107,108.2,-1.2,5.8,1.75,13.4,1.1,11.1,6.2,7.7,58.8,60.3,12.2,96.85,6.5
,Dion Waiters,MIA,25,46,27,19,30.1,106.5,103.8,2.8,23.4,1.94,19.6,1.5,10.7,6.1,10.1,48.8,50.7,26.4,98.03,10
,Goran Dragic,MIA,31,73,40,33,33.7,106.7,106,0.6,28.3,2,22,2.8,9.8,6.3,11,52.7,57.5,26.8,98.16,13
