,PLAYER,TEAM,AGE,GP,W,L,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST RATIO,OREB%,DREB%,REB%,TO RATIO,EFG%,TS%,USG%,PACE,PIE
,Derrick Williams,CLE,26,50,16,34,16.1,104.4,107.6,-3.2,5.4,1,8.3,2.6,15,8.9,8.3,50.4,53.7,17.7,96.49,7.4
,Iman Shumpert,CLE,27,76,48,28,25.5,110.1,108.2,1.9,8,1.4,15.2,2.3,9.8,6.2,10.9,50.7,53.6,14.2,97.99,5.5
,JR Smith,CLE,31,41,25,16,29,111.4,108.1,3.3,7.1,2.38,13.8,1.6,8.6,5.2,5.8,47.9,48.4,14.5,99.02,4.6
,Kevin Love,CLE,28,60,40,20,31.4,113.2,106,7.2,9.3,0.95,9.4,8.7,29.5,19.3,9.9,51,57.3,25.5,99.66,14.8
,Kyle Korver,CLE,36,67,33,34,26.2,104.6,109.5,-4.9,9.3,1.59,15.4,0.5,11.4,6,9.7,62.1,63.5,15.1,100,8.1
,Kyrie Irving,CLE,25,72,47,25,35.1,114.2,109.1,5.1,27.8,2.32,19.3,2.3,7.5,5,8.3,53.5,58,30.2,99.12,13.5
,LeBron James,CLE,32,74,51,23,37.8,114.9,107.1,7.7,38.8,2.13,25.6,4,20.9,12.7,12,59.4,61.9,29.7,98.38,18.3
,Richard Jefferson,CLE,37,79,50,29,20.4,110.3,106.9,3.4,6.8,1.5,15,2,11.5,7,10,53.6,57.4,12.3,98.11,5.3
,Tristan Thompson,CLE,26,78,50,28,30,110.6,107.7,2.9,4.6,1.2,11.5,13.5,19.6,16.6,9.5,60,59.4,11.2,98.28,8.9
,Bobby Portis,CHI,22,64,30,34,15.6,101.7,106,-4.3,5.9,0.95,7.4,7.8,24.2,15.8,7.8,53.1,54.5,19.3,97.38,11
,Cristiano Felicio,CHI,24,66,31,35,15.8,102.9,103,-0.1,6.1,1.21,11.9,13.1,19.9,16.5,9.9,57.9,60.3,12.6,97.27,10
,Denzel Valentine,CHI,23,57,28,29,17.1,104,104.5,-0.5,9.5,1.29,15.4,1.2,16.1,8.5,12,48.1,49.2,15.6,97.94,5.8
,Dwyane Wade,CHI,35,60,29,31,29.9,103.1,105.5,-2.4,22.1,1.65,15.8,3.7,12.5,8,9.6,45.7,50.8,29.3,98.2,12.1
,Isaiah Canaan,CHI,26,39,19,20,15.2,99.9,106.7,-6.8,9.9,1.76,15.1,1,8.2,4.5,8.6,43.6,48.3,15.6,96.46,5.6
,Jerian Grant,CHI,24,63,29,34,16.3,106.4,103.8,2.6,17.2,2.75,24.3,1.8,10,5.9,8.8,50.7,55.5,16.3,97,8.4
,Jimmy Butler,CHI,27,76,40,36,37,106.4,103.4,3,24.3,2.62,19.6,5,13.1,9,7.5,49.2,58.6,26.5,97.78,16.4
,Michael Carter-Williams,CHI,25,45,25,20,18.8,103.3,104.1,-0.8,20.3,1.71,21.8,2.9,16.9,9.7,12.7,39.1,43.7,20.7,98.47,7
,Nikola Mirotic,CHI,26,70,37,33,24,107.7,103,4.7,6.9,0.94,9,4,20.8,12.5,9.6,51.6,54.6,19.8,97.95,10.4
,Paul Zipser,CHI,23,44,21,23,19.2,103.3,101.7,1.6,6.2,0.9,11.4,1.9,13.8,7.9,12.7,47.3,50.3,14.5,97.93,5
,Rajon Rondo,CHI,31,69,34,35,26.7,104.2,106.3,-2.1,36.1,2.73,38,4.3,16.7,10.5,13.9,45.3,46.1,17.7,97.96,10.6
,Robin Lopez,CHI,29,81,40,41,28,105.3,105.1,0.2,5.4,0.88,8.1,11.4,13.1,12.2,9.2,49.3,51.1,17.4,97.27,8.3
,Cody Zeller,CHA,24,62,33,29,27.8,108.4,102.9,5.4,8.7,1.52,14.3,8.5,17.6,13,9.4,57.1,60.4,15.4,97.57,9.6
,Frank Kaminsky,CHA,24,75,31,44,26.1,108.3,107.3,0.9,13.1,2.13,14.6,3.3,15.8,9.6,6.9,47.1,50.2,22,98.15,8.5
,Jeremy Lamb,CHA,25,62,27,35,18.4,107.6,108.7,-1.1,11.3,1.88,11.3,2.9,22.4,12.7,6,50.2,55,23.5,95.9,12.4
,Kemba Walker,CHA,27,79,36,43,34.7,109,105.4,3.6,28.2,2.58,19.6,1.8,10.7,6.2,7.6,52.7,56.9,29.1,98.19,13.7
,Marco Belinelli,CHA,31,74,34,40,24,107.2,107.4,-0.1,13.1,2.1,16.2,0.9,10.4,5.6,7.7,51.2,56.6,19.3,97.98,8.8
,Marvin Williams,CHA,31,76,32,44,30.2,105.9,106.4,-0.5,7.2,1.77,11.3,4.2,20.2,12,6.4,51,55.1,16.3,97.82,9.6
,Michael Kidd-Gilchrist,CHA,23,81,36,45,29,105.4,103.8,1.6,7.4,2.04,13.1,7.1,19.4,13.1,6.4,47.8,52.8,14.6,97.79,9.3
,Nicolas Batum,CHA,28,77,35,42,34,107.4,106.2,1.3,27.3,2.35,26.1,1.9,18.4,10.1,11.1,47.2,52.9,22.1,98.76,11.8
,Ramon Sessions,CHA,31,50,23,27,16.2,103.4,108.2,-4.8,24,2.8,26.3,1.5,7.8,4.8,9.4,42,49.5,19.7,99.63,7.9
,Al Horford,BOS,31,68,46,22,32.3,110.7,105.8,5,23.9,2.93,25.7,4.9,18.3,11.8,8.8,52.7,55.3,19.9,98.96,12.5
,Amir Johnson,BOS,30,80,51,29,20.1,111.4,103.4,8,12.5,1.82,22.2,8.4,16.9,12.7,12.2,61.2,62.8,13.8,97.94,9.1
,Avery Bradley,BOS,26,55,34,21,33.4,108.7,107.5,1.2,10.7,1.39,11.9,4,16.1,10.1,8.6,53.3,54.8,21.8,99.23,9.9
,Isaiah Thomas,BOS,28,76,51,25,33.8,113.6,108.6,5,30.5,2.13,18.5,1.9,7,4.5,8.7,54.6,62.5,33.7,99.84,16.1
,Jae Crowder,BOS,26,72,48,24,32.4,112.3,104.5,7.8,9.7,1.94,14.8,2.4,17.1,9.9,7.6,57.2,61.3,17,99.94,10.3
,Jaylen Brown,BOS,20,78,50,28,17.2,103,105.1,-2.2,7.7,0.94,10.5,3.8,14.6,9.2,11.2,50.8,53.9,18.3,99.02,7.1
,Jonas Jerebko,BOS,30,78,51,27,15.8,108.9,105.7,3.2,8.1,1.82,18.3,5.5,19.2,12.5,10,52.1,53.7,11.5,98.94,6.9
,Kelly Olynyk,BOS,26,75,49,26,20.5,103.7,104.2,-0.4,15.9,1.54,18.4,5.3,20.7,13.1,11.9,57.9,60.3,18.8,99.85,11
,Marcus Smart,BOS,23,79,51,28,30.4,107.2,104.7,2.5,22.6,2.29,26.3,3.6,10.7,7.1,11.5,42.2,48.6,18.5,100.29,8.1
,Terry Rozier,BOS,23,74,47,27,17.1,102.2,102.5,-0.2,16.4,2.79,21.2,3.4,16.2,9.8,7.6,43.7,46.6,17.2,98.27,9.1
,Brook Lopez,BKN,29,75,20,55,29.6,103.4,107.6,-4.2,14.3,0.96,10.4,5.8,13,9.5,10.9,53.1,57.8,29,104.03,12.4
,Caris LeVert,BKN,22,57,15,42,21.7,104.9,107.6,-2.7,13.2,1.86,18.6,2,14.1,8.1,10,52.8,55.6,16.4,104.52,8.6
,Isaiah Whitehead,BKN,22,73,17,56,22.5,103.5,106.4,-2.9,17.3,1.35,21.5,2.1,9.3,5.9,15.9,44.5,48.7,18.3,102.31,5.2
,Jeremy Lin,BKN,28,36,13,23,24.5,103.5,106.4,-2.9,33.8,2.14,25.1,1.3,14.6,8,11.7,51,56.6,25.9,106.86,13.1
,Joe Harris,BKN,25,52,10,42,21.9,97.4,107.9,-10.5,7.6,0.98,11,1.4,11.7,6.6,11.2,54.3,55.8,16.1,105.53,6.1
,Justin Hamilton,BKN,27,64,14,50,18.4,98.2,109.5,-11.3,7.4,1.28,11,6.2,17.2,11.6,8.6,53.2,55,16.2,103.44,9.2
,Randy Foye,BKN,33,69,17,52,18.6,101.9,108.9,-7,15.3,1.69,23.8,0.7,12.4,6.5,14.1,46.6,50.6,14.5,103.71,5.7
,Rondae Hollis-Jefferson,BKN,22,78,19,59,22.6,101.9,106.6,-4.7,13.5,1.33,16.7,5.8,21,13.5,12.6,44.7,51.7,18.7,104.94,9.8
,Sean Kilpatrick,BKN,27,70,14,56,25.1,102.3,108.7,-6.4,14.7,1.16,13.9,1.4,15.3,8.5,11.9,48.6,54.6,23.7,103.54,9.9
,Spencer Dinwiddie,BKN,24,59,13,46,22.6,101.4,106.3,-4.9,21,2.8,29.7,2.2,10.9,6.6,10.6,50.7,58.1,14.4,101.2,8.7
,Trevor Booker,BKN,29,71,18,53,24.7,99.4,107.3,-7.9,13.1,1.09,15.3,8.9,25.1,17.2,14,53.7,55.4,18.8,103.12,12.7
,Dennis Schroder,ATL,23,79,42,37,31.5,103.4,105.4,-2,34,1.93,24,1.9,8.8,5.4,12.4,49.3,53.3,27.6,100.32,11.7
,Dwight Howard,ATL,31,74,37,37,29.7,101.1,103.1,-2,7.6,0.61,9.7,15.3,31,23.4,15.8,63.3,62.7,19.1,99.8,15.1
,Ersan Ilyasova,ATL,30,82,35,47,26.1,102.8,103.7,-0.9,10.7,1.22,11.4,5.9,18.4,12.2,9.4,51.1,54.6,22,101.47,10.6
,Kent Bazemore,ATL,27,73,39,34,26.9,102.9,105.2,-2.3,14,1.42,16.1,2.6,10,6.4,11.4,47.3,50.4,20.4,100.37,7.4
,Malcolm Delaney,ATL,28,73,37,36,17.1,102.2,100,2.2,24.1,2.03,26.9,0.9,10.4,5.6,13.3,40.7,45.6,18.7,98.7,6.4
,Mike Dunleavy,ATL,36,53,34,19,15.9,98.2,102.5,-4.3,9.7,1.79,15.7,2.4,12.4,7.4,8.8,54.3,57.3,14.1,98.53,7.7
,Mike Muscala,ATL,25,70,36,34,17.7,102,105.1,-3.1,12.1,1.73,18.4,6.9,15,10.9,10.7,57.3,59.6,14.9,99.78,9.7
,Paul Millsap,ATL,32,69,40,29,34,105,103,2,17.2,1.59,16.2,5.3,19.2,12.4,10.1,48.1,54.2,24.3,100.22,12.6
,Taurean Prince,ATL,23,59,28,31,16.6,97.6,98.4,-0.8,9.1,0.9,12.4,2.7,14.3,8.5,13.8,45.8,51.3,17.1,100.03,7.4
,Thabo Sefolosha,ATL,33,62,32,30,25.7,102.8,103.3,-0.5,9.9,1.84,18,3.8,14.8,9.4,9.8,49.2,51.9,13.4,99.53,8.6
,Tim Hardaway Jr.,ATL,25,79,42,37,27.3,106.2,103.1,3.1,13.7,1.72,14.1,1.9,9.4,5.8,8.2,53.7,56.8,22.3,100.66,10.4
